coin_id,symbol,name,price_usd,market_cap,volume
bitcoin,btc,Bitcoin,75858.0,1518496247852,66123197215.0
ethereum,eth,Ethereum,2358.66,284667553642,13710370684.0
tether,usdt,Tether,1.0,186658745530,90313537654.0
ripple,xrp,XRP,1.43,88338536988,2474314815.0
binancecoin,bnb,BNB,631.63,85135767978,1081910342.0
usd-coin,usdc,USDC,0.99983,78497126576,9168433738.0
solana,sol,Solana,86.34,49671625929,2825944792.0
tron,trx,TRON,0.329639,31241847578,506267615.0
dogecoin,doge,Dogecoin,0.095107,14635786522,1556323117.0
whitebit,wbt,WhiteBIT Coin,55.1,11759730471,33193741.0
usds,usds,USDS,0.999792,11217345842,59797911.0
hyperliquid,hype,Hyperliquid,44.21,10538419932,190401195.0
cardano,ada,Cardano,0.250129,9243479711,386492502.0
bitcoin-cash,bch,Bitcoin Cash,444.72,8904670096,154737365.0
chainlink,link,Chainlink,9.33,6783093699,322110748.0
monero,xmr,Monero,350.71,6469504471,106980600.0
memecore,m,MemeCore,3.55,6245637447,29598681.0
ethena-usde,usde,Ethena USDe,0.999521,5827509261,101002711.0
stellar,xlm,Stellar,0.170792,5666425202,103684418.0
zcash,zec,Zcash,324.78,5411948151,366598662.0
dai,dai,Dai,0.999666,4361929368,129458818.0
litecoin,ltc,Litecoin,55.74,4295674513,284100410.0
usd1-wlfi,usd1,USD1,1.0,4200716301,789556106.0
paypal-usd,pyusd,PayPal USD,0.999855,4112052651,71158041.0
avalanche-2,avax,Avalanche,9.39,4053539958,262500694.0
hedera-hashgraph,hbar,Hedera,0.089266,3867190619,61590944.0
sui,sui,Sui,0.961877,3800930791,378449607.0
rain,rain,Rain,0.00768074,3674589737,11468915.0
shiba-inu,shib,Shiba Inu,6.09e-06,3587769521,112998846.0
the-open-network,ton,Toncoin,1.33,3298820703,124211689.0
tether-gold,xaut,Tether Gold,4784.64,2678872750,82210279.0
world-liberty-financial,wlfi,World Liberty Financial,0.07944,2523445642,50118517.0
bittensor,tao,Bittensor,246.66,2363813408,214628003.0
pax-gold,paxg,PAX Gold,4787.54,2363311810,83981555.0
global-dollar,usdg,Global Dollar,0.999809,2273506904,47917682.0
mantle,mnt,Mantle,0.663307,2174187589,32445268.0
polkadot,dot,Polkadot,1.28,2152729232,192388175.0
uniswap,uni,Uniswap,3.37,2132357390,173571923.0
pi-network,pi,Pi Network,0.174831,1782166354,31887458.0
okb,okb,OKB,84.25,1769172231,14905224.0
near,near,NEAR Protocol,1.35,1742046530,207548249.0
aster-2,aster,Aster,0.675095,1659709331,190812122.0
htx-dao,htx,HTX DAO,1.8e-06,1629425456,10086785.0
pepe,pepe,Pepe,3.81e-06,1601228764,327335254.0
aave,aave,Aave,103.66,1573970892,559031894.0
usdd,usdd,USDD,1.0,1507280094,26418390.0
ripple-usd,rlusd,Ripple USD,1.0,1429978824,133975962.0
internet-computer,icp,Internet Computer,2.5,1380522039,39612263.0
ethereum-classic,etc,Ethereum Classic,8.53,1333374293,34944292.0
bitget-token,bgb,Bitget Token,1.86,1300421344,33985477.0
ondo-finance,ondo,Ondo,0.259536,1263599776,53996421.0
kucoin-shares,kcs,KuCoin,8.61,1159090250,18957596.0
pump-fun,pump,Pump.fun,0.00188584,1112697868,47775785.0
quant-network,qnt,Quant,74.15,1078452416,10165241.0
ethena,ena,Ethena,0.121328,1062247643,150643499.0
morpho,morpho,Morpho,1.91,1054166149,13765302.0
united-stables,u,United Stables,0.999828,972607113,40195825.0
polygon-ecosystem-token,pol,POL (ex-MATIC),0.090108,957790603,55908124.0
algorand,algo,Algorand,0.107527,957413721,33009784.0
kaspa,kas,Kaspa,0.03436424,940359633,25382688.0
render-token,render,Render,1.79,929177737,95406582.0
cosmos,atom,Cosmos Hub,1.79,902473203,44001949.0
worldcoin-wld,wld,Worldcoin,0.266618,875140020,137765681.0
usdtb,usdtb,USDtb,1.0,869407041,16232294.0
ravedao,rave,RaveDAO,3.16,783573336,490013062.0
arbitrum,arb,Arbitrum,0.128701,777771472,96285632.0
aptos,apt,Aptos,0.941934,759993430,104590387.0
filecoin,fil,Filecoin,0.948659,732704847,98764518.0
dexe,dexe,DeXe,14.5,678077336,47734833.0
official-trump,trump,Official Trump,2.88,670140682,137533430.0
jupiter-exchange-solana,jup,Jupiter,0.180102,639830799,21995198.0
midnight-3,night,Midnight,0.03819696,634317635,20226559.0
beldex,bdx,Beldex,0.080075,619585851,12009692.0
vechain,vet,VeChain,0.00710782,611165958,15209852.0
just,jst,JUST,0.070768,604671160,31732804.0
xdce-crowd-sale,xdc,XDC Network,0.03009743,600217419,21757000.0
stable-2,stable,​​Stable,0.02667864,584665454,14606299.0
gho,gho,GHO,0.999214,583577761,30614818.0
siren-2,siren,Siren,0.751187,545286480,45167119.0
