coin_id,symbol,name,price_usd,market_cap,volume
bitcoin,btc,Bitcoin,75858.0,1518496247852,66123197215.0
ethereum,eth,Ethereum,2358.66,284667553642,13710370684.0
tether,usdt,Tether,1.0,186658745530,90313537654.0
ripple,xrp,XRP,1.43,88338536988,2474314815.0
binancecoin,bnb,BNB,631.63,85135767978,1081910342.0
usd-coin,usdc,USDC,0.99983,78497126576,9168433738.0
solana,sol,Solana,86.34,49671625929,2825944792.0
tron,trx,TRON,0.329639,31241847578,506267615.0
figure-heloc,figr_heloc,Figure Heloc,1.035,17340515686,9185860.0
dogecoin,doge,Dogecoin,0.095107,14635786522,1556323117.0
